combo,run,Tasks Completed,Throughput (MB),Avg Latency (ms),Tasks Dropped,Success Rate (%),Sched Overhead (ms),P2P Offloads,Average Throughput-Thr,UAV Utilization,Capacity Utilization,Unassigned Tasks
MOGS/PPO,1,78.0,37.1933,496.14,322.0,19.5,1.9218,0.0,0.195,0.3917,0.0113,80.5
MOGS/CAR,1,169.0,80.5855,496.65,231.0,42.25,4.4641,7.0,0.4225,0.8417,0.0231,57.75
MARL/PPO,1,14.0,6.6757,403.45,386.0,3.5,74.2246,0.0,0.035,0.05,0.0021,96.5
MARL/CAR,1,6.0,2.861,637.02,394.0,1.5,119.1584,0.0,0.015,0.0667,0.0011,98.5
DYNAMIC/PPO,1,73.0,34.8091,475.39,327.0,18.25,1.1946,6.0,0.1825,0.3917,0.01,81.75
DYNAMIC/CAR,1,189.0,90.1222,516.34,211.0,47.25,1.8624,9.0,0.4725,0.8833,0.0269,52.75
